Date,Supp. Code,Supp. Name,Item Code,Item Name,Brick,Governorate Name,Territory Name,Brick Name,QTY,FU,Total Qty,Year,Month
2025/01/31,110192.0,BIOTECH PHARMA                      ,620174.0,GENGIGEL MOUTH RINSE 150ML                                  ,10401.0,مدينه نصر           ,NASR CITY NASR CITY                     ,NASR CITY                               ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,32702.0,6 اكتوبر            ,FAISAL 6TH OF OCTOBER CITY              ,GIZA ( 6 OCTOBER )                      ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,266902.0,الاقصر              ,QENA II LUXOR CITY                      ,LUXOR CITY                              ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,41802.0,القاهره الجديده     ,HELWAN HELWAN                           ,CAIRO ( HELWAN )                        ,10,0,10,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,619237.0,KEFEN TECH 7 PLASTER                                        ,11901.0,شبرا الخيمه         ,SHOBRA KHEMAH SHOBRA ELKHEMAH           ,CAIRO (SHOBRA)                          ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,165801.0,الاسماعيليه         ,ISMAELIA ISMAELIA                       ,ISMAELIA                                ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620176.0,GENGIGEL GEL TEETHING 20ML                                  ,11701.0,زهراء المعادي       ,MAADI ELBASATIN                         ,MAADI                                   ,5,0,5,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,124801.0, الاسكندرية         ,EL HARAM ELHARAM                        ,MIAMI - SEDI BESHR                      ,90,0,90,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,10602.0,الخصوص              ,CAIRO E II EZBET ELNAKHL                ,CAIRO ( EL SALAM )                      ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,125101.0,سبورتنج             ,ALEX CNTR II SPORTING                   ,SEDI GABER - SPORTING - ROSHDY          ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,22701.0,الجيزة              ,FAISAL FAISAL                           ,FEISAL                                  ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,73401.0,الغربية             ,GHARBIA  TANTA                          ,ZEFTA                                   ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,256601.0,طما                 ,SOHAG I TEMA                            ,MARAKEZ SOHAG BAHARY                    ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,83702.0,الطيبه              ,DAKAHLIA I NABAROH                      ,TALKHA                                  ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0,القاهره الجديده     ,NASR CITY NASR CITY                     ,NASR CITY                               ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,22201.0,الجيزة              ,GIZA III DOKKI                          ,DOKY                                    ,3,0,3,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,620174.0,GENGIGEL MOUTH RINSE 150ML                                  ,10401.0,مدينه نصر           ,NASR CITY NASR CITY                     ,NASR CITY                               ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,606713.0,FORTIBONE 10 SACHETS                                        ,32702.0,6 اكتوبر            ,FAISAL 6TH OF OCTOBER CITY              ,GIZA ( 6 OCTOBER )                      ,5,0,5,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,575054.0,CH ALPHA 10 SACH                                            ,41802.0,مدينه 15 مايو       ,HELWAN 15TH OF MAY                      ,CAIRO ( HELWAN )                        ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10701.0,عين شمس             ,CAIRO E III AIN SHAMS EAST              ,AIN SHAMS EAST                          ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0,القاهرة             ,NASR CITY NASR CITY                     ,NASR CITY                               ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,10401.0,مدينه نصر           ,NASR CITY NASR CITY                     ,NASR CITY                               ,4,0,4,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,10401.0, الجيزة             ,NASR CITY NASR CITY                     ,NASR CITY                               ,50,0,50,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,591469.0,CH ALPHA PLUS 10 SACHETS                                    ,287001.0,ادفو                ,ASWAN EDFO                              ,MARAKEZ ASWAN                           ,1,0,1,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,32801.0,الهرم               ,EL HARAM ELHARAM                        ,GIZA (OSIEM)                            ,2,0,2,2025,1
2025/01/31,110192.0,BIOTECH PHARMA                      ,583152.0,GENGIGEL GEL ADULT 20ML                                     ,135303.0,مرسي مطروح          ,ALEX W II /MTRH MARSA MATROUH           ,MATROUH                                 ,2,0,2,2025,1
