English Name,Product Code,Product Name,Territory Code,Territory Name,Sales Value,Credit Value,Net Sales Value,Sales,Bonus,Year,Month
Chain - Alex & Delta,13167,جنجيجيل 20 مل,131A3,العطارين-الاسكندرية,2547.37,0,2547.37,10,0,2025,1
Chain - Alex & Delta,13167,جنجيجيل 20 مل,297A3,سموحه,51711.611,0,51711.611,203,0,2025,1
Chain - Alex & Delta,13167,جنجيجيل 20 مل,400A4,محطه الرمل,12736.85,0,12736.85,50,0,2025,1
Chain - Alex & Delta,19252,جنجيجيل تيثينج 20 مل,178A11,المنصورة,293.333,0,293.333,1,0,2025,1
Chain - Alex & Delta,19252,جنجيجيل تيثينج 20 مل,297A3,سموحه,7333.325,0,7333.325,25,0,2025,1
Chain - Alex & Delta,13168,جنجيجيل غسول للفم 150 مل,297A3,سموحه,29719.25,0,29719.25,110,0,2025,1
Chain - Alex & Delta,13168,جنجيجيل غسول للفم 150 مل,400A4,محطه الرمل,10807,0,10807,40,0,2025,1
Chain - Alex & Delta,8801,سى اتش الفا 10 كيس,297A3,سموحه,1821.752,0,1821.752,8,0,2025,1
Chain - Alex & Delta,8801,سى اتش الفا 10 كيس,400A4,محطه الرمل,47820.99,0,47820.99,200,10,2025,1
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,131A3,العطارين-الاسكندرية,1080.7,0,1080.7,4,0,2025,1
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,297A3,سموحه,5403.5,0,5403.5,20,0,2025,1
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,398A3,محرم بك,540.35,0,540.35,2,0,2025,1
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,400A4,محطه الرمل,283683.75,0,283683.75,1000,50,2025,1
Chain - Alex & Delta,32059,فورتيبون 10 اكياس,131A3,العطارين-الاسكندرية,293.333,0,293.333,1,0,2025,1
Chain - Alex & Delta,32059,فورتيبون 10 اكياس,400A4,محطه الرمل,23466.64,0,23466.64,80,0,2025,1
Chain - Alex & Delta,32059,فورتيبون 10 اكياس,40A3,الابراهيميه,586.666,0,586.666,2,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,106A2,السيوف,3740,0,3740,50,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,178A11,المنصورة,20944,0,20944,280,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,191A4,الورديان,11220,0,11220,150,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,208A6,باكوس,4488,0,4488,60,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,232A3,بولكلى,4488,0,4488,60,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,297A3,سموحه,18700,0,18700,250,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,337A11,طلخا,748,0,748,10,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,398A3,محرم بك,374,0,374,5,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,400A4,محطه الرمل,22440,0,22440,300,0,2025,1
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,461C10,وسط القاهرة,748,0,748,10,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,1007C7,مدينة العبور,5349.477,0,5349.477,21,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,167C14,المعادى الجديدة,3821.055,0,3821.055,15,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,181C15,المهندسين,4330.529,-3056.844,1273.685,5,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,185C5,النزهة الجديدة,254.737,0,254.737,1,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,187C11,الهرم 1,509.474,0,509.474,2,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,188C11,الهرم 2 / فيصل,1273.685,0,1273.685,5,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,241C4,جسر السويس,509.474,0,509.474,2,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,246C4,حدائق القبة,254.737,0,254.737,1,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,280C6,زهراء مدينة نصر,4075.792,0,4075.792,16,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,2C11,اكتوبر 6,21143.171,-254.737,20888.434,82,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,315C5,شارع الميرغنى,5094.74,0,5094.74,20,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,320C16,شبرا الخيمة,1018.948,0,1018.948,4,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,350C8,عين شمس الشرقية,1273.685,0,1273.685,5,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,405C7,مدينة السلام,764.211,0,764.211,3,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,406C6,مدينة نصر 1,8151.584,-509.474,7642.11,30,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,407C6,مدينة نصر 2,15029.483,0,15029.483,59,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,411C5,مساكن شيراتون,254.737,0,254.737,1,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,412C17,مسرح البالون/العجوزة,5604.214,-2802.107,2802.107,11,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,451C11,ناهيا,509.474,0,509.474,2,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,45U7,الاقصر,1528.422,0,1528.422,6,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,461C10,وسط القاهرة,10189.48,0,10189.48,40,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,63C12,الجيزة,15538.957,0,15538.957,61,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,81C13,الدقى/بين السريات,1528.422,0,1528.422,6,0,2025,1
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,96C4,الزيتون,2547.37,0,2547.37,10,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,1007C7,مدينة العبور,2933.33,0,2933.33,10,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,167C14,المعادى الجديدة,4399.995,-586.666,3813.329,13,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,170C6,المقطم/ الابجي,2933.33,0,2933.33,10,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,181C15,المهندسين,16426.648,0,16426.648,56,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,27C5,ارض الجولف,1173.332,0,1173.332,4,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,280C6,زهراء مدينة نصر,586.666,0,586.666,2,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,2C11,اكتوبر 6,7626.658,0,7626.658,26,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,315C5,شارع الميرغنى,2639.997,0,2639.997,9,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,349C8,عزبة النخل,879.999,0,879.999,3,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,350C8,عين شمس الشرقية,1173.332,0,1173.332,4,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,405C7,مدينة السلام,879.999,-293.333,586.666,2,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,406C6,مدينة نصر 1,7919.991,-586.666,7333.325,25,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,407C6,مدينة نصر 2,3519.996,0,3519.996,12,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,412C17,مسرح البالون/العجوزة,3813.329,0,3813.329,13,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,461C10,وسط القاهرة,2933.33,0,2933.33,10,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,63C12,الجيزة,4106.662,0,4106.662,14,0,2025,1
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,96C4,الزيتون,2933.33,0,2933.33,10,0,2025,1
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,167C14,المعادى الجديدة,2431.575,0,2431.575,9,0,2025,1
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,170C6,المقطم/ الابجي,2701.75,0,2701.75,10,0,2025,1
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,181C15,المهندسين,810.525,0,810.525,3,0,2025,1
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,280C6,زهراء مدينة نصر,1891.225,0,1891.225,7,0,2025,1
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,2C11,اكتوبر 6,2971.925,0,2971.925,11,0,2025,1
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,315C5,شارع الميرغنى,1350.875,0,1350.875,5,0,2025,1
